label,bootstrap_unit,seed,replicates_requested,replicates_attempted,replicates_successful,replicates_failed,failure_rate,interval_method,n_rows,n_issues
C|het|ar|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|ru|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4992,624
C|het|ru|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2471,624
C|het|ru|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7488,624
C|het|ru|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|hi|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4989,624
C|het|hi|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2450,624
C|het|hi|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7485,624
C|het|hi|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|zh|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18294,520
C|het|zh|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4570,104
C|het|zh|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4576,520
C|het|ar|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18289,520
C|het|ar|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4574,104
C|het|ar|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4574,520
C|het|ru|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18283,520
C|het|ru|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4572,104
C|het|ru|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4575,520
C|het|hi|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18256,520
C|het|hi|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4570,104
C|het|hi|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4576,520
D|outcome|CN|refused_strict,issue_id,20260806,1000,1000,1000,0,0,percentile,20797,520
D|outcome|CN|refused_any,issue_id,20260806,1000,1000,1000,0,0,percentile,20797,520
D|outcome|MENA|refused_strict,issue_id,20260806,1000,1000,1000,0,0,percentile,31195,520
D|outcome|MENA|refused_any,issue_id,20260806,1000,1000,1000,0,0,percentile,31195,520
D|outcome|India|refused_strict,issue_id,20260806,1000,1000,1000,0,0,percentile,10328,520
D|outcome|India|refused_any,issue_id,20260806,1000,1000,1000,0,0,percentile,10328,520
D|outcome|US|refused_strict,issue_id,20260806,1000,1000,1000,0,0,percentile,41599,520
D|outcome|US|refused_any,issue_id,20260806,1000,1000,1000,0,0,percentile,41599,520
D|outcome|EU|refused_strict,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
D|outcome|EU|refused_any,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
D|ordinal|CN,issue_id,20260806,1000,1000,1000,0,0,percentile,20797,520
D|ordinal|MENA,issue_id,20260806,1000,1000,1000,0,0,percentile,31195,520
D|ordinal|India,issue_id,20260806,1000,1000,1000,0,0,percentile,10328,520
D|ordinal|US,issue_id,20260806,1000,1000,1000,0,0,percentile,41599,520
D|ordinal|EU,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
C|paired|zh,issue_id,20260806,2000,2000,2000,0,0,percentile,27440,624
C|paired|ar,issue_id,20260806,2000,2000,2000,0,0,percentile,27437,624
C|paired|ru,issue_id,20260806,2000,2000,2000,0,0,percentile,27430,624
C|paired|hi,issue_id,20260806,2000,2000,2000,0,0,percentile,27402,624
C|het|zh|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2489,623
C|het|zh|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|zh|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2488,624
C|het|ar|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|ar|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2478,624
C|het|ru|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|ru|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2471,624
C|het|hi|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|hi|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2494,624
C|het|hi|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|hi|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|hi|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2450,624
C|het|zh|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4992,624
C|het|zh|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2488,624
C|het|zh|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7481,624
C|het|zh|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|ar|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4992,624
C|het|ar|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2478,624
C|het|ar|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7488,624
C|het|ar|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|ru|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4992,624
C|het|ru|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2471,624
C|het|ru|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7488,624
C|het|ru|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|hi|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4989,624
C|het|hi|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2450,624
C|het|hi|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7485,624
C|het|hi|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|zh|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18294,520
C|het|zh|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4570,104
C|het|zh|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4576,520
C|het|ar|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18289,520
C|het|ar|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4574,104
C|het|ar|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4574,520
C|het|ru|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18283,520
C|het|ru|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4572,104
C|het|ru|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4575,520
C|het|hi|home_status|away,issue_id,20260806,800,800,800,0,0,percentile,18256,520
C|het|hi|home_status|general,issue_id,20260806,800,800,800,0,0,percentile,4570,104
C|het|hi|home_status|home,issue_id,20260806,800,800,800,0,0,percentile,4576,520
